thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro_disp.started,intro.stopped,initcodevalues.started,initcodevalues.stopped,cross_fix.started,polygon.started,polygon.stopped,cross_fix.stopped,prompt.started,string_prompt_disp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.010391099844127893,0.027246300131082535,0.7326054000295699,,,,,,,,,821736,001,2025-05-30_15h59.18.621,buttontest,2024.2.4,59.92089232388969,2025-05-30 15h59.24.521435 -0700,
0,0,0,0,0,0,0,0.7436640998348594,,,,,0.7329997001215816,0.7334565999917686,0.7334814998321235,0.7436640998348594,,2.7329334001988173,2.735574800055474,,,,,,,,,
